tenantInstitutionId,tenantInstitutionName,sector,industry_group,industry,sub_industry
4071222,Tellabs Inc.,Information Technology,Technology Hardware and Equipment,Communications Equipment,Communications Equipment
4070655,Ryder Integrated Logistics Inc.,Industrials,Transportation,Air Freight and Logistics,Air Freight and Logistics
4070588,Rent-A-Center Inc.,Consumer Discretionary,Retailing,Specialty Retail,Computer and Electronics Retail
4070569,"Room & Board, Inc.",Consumer Discretionary,Retailing,Specialty Retail,Homefurnishing Retail
4070553,"Ricoh Electronics, Inc.",Information Technology,Technology Hardware and Equipment,"Technology Hardware, Storage and Peripherals","Technology Hardware, Storage and Peripherals"
4070421,Quick Chek Corp.,Consumer Staples,Food and Staples Retailing,Food and Staples Retailing,Food Retail
4070369,Pet Supplies Plus/U.S.A. Inc.,Consumer Discretionary,Retailing,Specialty Retail,Specialty Stores
4103201,State of New York,Industrials,Commercial and Professional Services,Commercial Services and Supplies,Diversified Support Services
4101277,"Saber Healthcare Group, LLC",Health Care,Health Care Equipment and Services,Health Care Providers and Services,Health Care Facilities
4101763,Bloomberg L.P.,Financials,Diversified Financials,Capital Markets,Financial Exchanges and Data
4097083,At Home Group Inc.,Consumer Discretionary,Retailing,Specialty Retail,Homefurnishing Retail
4096130,Tarter Krinsky & Drogin LLP,Consumer Discretionary,Consumer Services,Diversified Consumer Services,Specialized Consumer Services
4095949,PetSmart Inc.,Consumer Discretionary,Retailing,Specialty Retail,Specialty Stores
4095582,Daiichi Sankyo Inc.,Health Care,"Pharmaceuticals, Biotechnology and Life Sciences",Pharmaceuticals,Pharmaceuticals
4094911,"Robby's Sporting Goods, Inc.",Consumer Discretionary,Retailing,Specialty Retail,Apparel Retail
4094860,Kramer Levin Naftalis & Frankel LLP,Industrials,Commercial and Professional Services,Professional Services,Research and Consulting Services
4094861,Practising Law Institute Inc.,Consumer Discretionary,Consumer Services,Diversified Consumer Services,Education Services
4094845,Genesis Healthcare Inc.,Health Care,Health Care Equipment and Services,Health Care Providers and Services,Health Care Facilities
4095107,PQ Corp.,Materials,Materials,Chemicals,Commodity Chemicals
4095048,Konica Minolta Danka Imaging Company,Information Technology,Technology Hardware and Equipment,"Electronic Equipment, Instruments and Components",Technology Distributors
4094889,Towers Watson Pennsylvania Inc.,Financials,Insurance,Insurance,Reinsurance
4094839,"Brooks Brothers Group, Inc.",Consumer Discretionary,Retailing,Specialty Retail,Apparel Retail
4094825,Midwest Air Technologies,Materials,Materials,Metals and Mining,Diversified Metals and Mining
4094800,GAB Robins North America Inc.,Industrials,Commercial and Professional Services,Professional Services,Research and Consulting Services
4094748,Trader Joe's Co.,Consumer Staples,Food and Staples Retailing,Food and Staples Retailing,Food Retail
4094734,"Kay Jewelers, Inc.",Consumer Discretionary,Retailing,Specialty Retail,Specialty Stores
4094689,The Buckle Inc.,Consumer Discretionary,Retailing,Specialty Retail,Apparel Retail
4094680,Trans World Entertainment Corp.,Consumer Discretionary,Retailing,Specialty Retail,Specialty Stores
4094664,Digitas Inc.,Communication Services,Media and Entertainment,Media,Advertising
4093878,International Securities Ex Holdings Inc.,Financials,Diversified Financials,Capital Markets,Financial Exchanges and Data
4091290,Sleepy's LLC,Consumer Discretionary,Retailing,Specialty Retail,Homefurnishing Retail
4091163,New York City EDC,Industrials,Commercial and Professional Services,Professional Services,Research and Consulting Services
4090229,Raymours Furniture Co. Inc.,Consumer Discretionary,Retailing,Specialty Retail,Homefurnishing Retail
4090104,Ozburn-Hessey Logistics LLC,Industrials,Transportation,Air Freight and Logistics,Air Freight and Logistics
4088307,Vitamin Shoppe Industries Inc.,Consumer Discretionary,Retailing,Specialty Retail,Specialty Stores
4087696,EisnerAmper LLP,Industrials,Commercial and Professional Services,Professional Services,Research and Consulting Services
4086110,United Rentals Inc.,Industrials,Capital Goods,Trading Companies and Distributors,Trading Companies and Distributors
4081764,Rainbow USA Inc.,Consumer Discretionary,Retailing,Specialty Retail,Apparel Retail
4085204,ARO Liquidation Inc.,Consumer Discretionary,Retailing,Specialty Retail,Apparel Retail
4081203,Skechers U.S.A. Inc.,Consumer Discretionary,Consumer Durables and Apparel,"Textiles, Apparel and Luxury Goods",Footwear
4042780,Stewart Title Insurance Co.,Financials,Insurance,Insurance,Property and Casualty Insurance
107814,TruMark Financial CU,Financials,Diversified Financials,Diversified Financial Services,Specialized Finance
107748,Franklin Mint FCU,Financials,Diversified Financials,Diversified Financial Services,Specialized Finance
4185649,Global Aerospace Inc.,Financials,Insurance,Insurance,Property and Casualty Insurance
4106381,Caliber Home Loans Inc.,Financials,Banks,Thrifts and Mortgage Finance,Thrifts and Mortgage Finance
4172236,AAA-Mid-Atlantic Inc.,Communication Services,Media and Entertainment,Interactive Media and Services,Interactive Media and Services
4071069,Seton Health Plan Inc.,Health Care,Health Care Equipment and Services,Health Care Providers and Services,Managed Health Care
4086050,KBC Bank NV,Financials,Banks,Banks,Diversified Banks
13622,Plymouth Rock Assurance Corp.,Financials,Insurance,Insurance,Property and Casualty Insurance
4074243,Cavalry Portfolio Services LLC,Financials,Diversified Financials,Consumer Finance,Consumer Finance
110879,Harding Loevner LP,Financials,Diversified Financials,Capital Markets,Asset Management and Custody Banks
4120142,Levin Capital Strategies L.P.,Financials,Diversified Financials,Capital Markets,Asset Management and Custody Banks
4069283,Lord & Taylor LLC,Consumer Discretionary,Retailing,Specialty Retail,Apparel Retail
4069133,"KB Toys, Inc.",Consumer Discretionary,Retailing,Specialty Retail,Specialty Stores
4068983,Ingram Micro Inc.,Information Technology,Technology Hardware and Equipment,"Electronic Equipment, Instruments and Components",Technology Distributors
4068998,International House of Pancakes LLC,Consumer Discretionary,Consumer Services,"Hotels, Restaurants and Leisure",Restaurants
4068514,"The Great Atlantic & Pacific Tea Company, Inc.",Consumer Staples,Food and Staples Retailing,Food and Staples Retailing,Food Retail
4068463,Fashion Bug Retail Cos. LLC,Consumer Discretionary,Retailing,Specialty Retail,Apparel Retail
4068349,Federal Bureau of Investigation,,,,
4068295,"Euromarket Designs, Inc.",Consumer Discretionary,Retailing,Specialty Retail,Homefurnishing Retail
4067878,Contraves Brashear Systems,Industrials,Capital Goods,Aerospace and Defense,Aerospace and Defense
4067762,Refresco Beverages US Inc.,Consumer Staples,"Food, Beverage and Tobacco",Beverages,Soft Drinks
4085200,BT Harborside Urban Renewal Corp.,,,,
4067513,Century Theatres Inc.,Communication Services,Media and Entertainment,Entertainment,Movies and Entertainment
4067428,"Calvin Klein, Inc.",Consumer Discretionary,Consumer Durables and Apparel,"Textiles, Apparel and Luxury Goods","Apparel, Accessories and Luxury Goods"
4067345,Berlin Packaging L.L.C.,Materials,Materials,Containers and Packaging,Metal and Glass Containers
4068749,Healthcare Inc.,,,,
4066525,"Taro Pharmaceuticals U.S.A., Inc.",Health Care,"Pharmaceuticals, Biotechnology and Life Sciences",Pharmaceuticals,Pharmaceuticals
4065456,NDB Capital Markets Corp.,Financials,Diversified Financials,Capital Markets,Investment Banking and Brokerage
4064702,Butzel Long PC,Consumer Discretionary,Consumer Services,Diversified Consumer Services,Specialized Consumer Services
4061781,New York University,Consumer Discretionary,Consumer Services,Diversified Consumer Services,Education Services
4059455,Cornell University,Consumer Discretionary,Consumer Services,Diversified Consumer Services,Education Services
4057950,"King Kullen Grocery Co., Inc.",Consumer Staples,Food and Staples Retailing,Food and Staples Retailing,Food Retail
4058104,Super Fresh,Industrials,Transportation,Air Freight and Logistics,Air Freight and Logistics
4056364,Zale Corp.,Consumer Discretionary,Retailing,Specialty Retail,Specialty Stores
4094626,Dendreon Corp.,Health Care,"Pharmaceuticals, Biotechnology and Life Sciences",Biotechnology,Biotechnology
4092823,"Hearth Management, LLC",Health Care,Health Care Equipment and Services,Health Care Providers and Services,Health Care Facilities
4091268,The Cooper Health System,Health Care,Health Care Equipment and Services,Health Care Providers and Services,Health Care Facilities
4090249,Insurance Auto Auctions Inc.,Industrials,Commercial and Professional Services,Commercial Services and Supplies,Diversified Support Services
4077198,Bombardier Aerospace Corp.,Industrials,Capital Goods,Aerospace and Defense,Aerospace and Defense
4074605,Dolce & Gabbana USA Inc.,Consumer Discretionary,Consumer Durables and Apparel,"Textiles, Apparel and Luxury Goods","Apparel, Accessories and Luxury Goods"
4071481,USCO Contract Log LLC,,,,
4190304,H&R Block Group Inc.,Financials,Diversified Financials,Diversified Financial Services,Multi-Sector Holdings
4190379,TOD'S S.p.A.,Consumer Discretionary,Consumer Durables and Apparel,"Textiles, Apparel and Luxury Goods",Footwear
4186849,Atlas Copco AB,Industrials,Capital Goods,Machinery,Industrial Machinery
4186749,H Mart,,,,
4173170,Primark Stores Ltd.,Consumer Discretionary,Retailing,Specialty Retail,Apparel Retail
4169280,CWB National Leasing Inc.,Financials,Diversified Financials,Diversified Financial Services,Specialized Finance
4167558,"Petro Stopping Centers, L.P.",Consumer Discretionary,Retailing,Specialty Retail,Automotive Retail
4166427,Movie Gallery Inc.,Consumer Discretionary,Retailing,Specialty Retail,Specialty Stores
4074192,The TJX Cos. Inc.,Consumer Discretionary,Retailing,Specialty Retail,Apparel Retail
4071634,"Walden Book Company, Inc.",Consumer Discretionary,Retailing,Specialty Retail,Specialty Stores
4071434,"Uline, Inc.",Industrials,Capital Goods,Trading Companies and Distributors,Trading Companies and Distributors
4071291,Tommy Hilfiger U.S.A. Inc.,Consumer Discretionary,Consumer Durables and Apparel,"Textiles, Apparel and Luxury Goods","Apparel, Accessories and Luxury Goods"
4071500,U.S. Marshals Service,,,,
4071032,Starbucks Corp.,Consumer Discretionary,Consumer Services,"Hotels, Restaurants and Leisure",Restaurants
4070666,Sapient Corp.,Information Technology,Software and Services,IT Services,IT Consulting and Other Services
4070123,"Peebles, Inc.",Consumer Discretionary,Retailing,Multiline Retail,Department Stores
4069571,Menlo Logistics Inc,Industrials,Transportation,Air Freight and Logistics,Air Freight and Logistics
4069312,Laboratory Corp. of America Holdings,Health Care,Health Care Equipment and Services,Health Care Providers and Services,Health Care Services
4069210,Kirkland's Inc.,Consumer Discretionary,Retailing,Specialty Retail,Homefurnishing Retail
4068937,Inter IKEA Systems B.V.,Financials,Diversified Financials,Diversified Financial Services,Multi-Sector Holdings
4068469,Foot Locker Inc.,Consumer Discretionary,Retailing,Specialty Retail,Apparel Retail
4068417,famousfootwear.com Inc.,Consumer Discretionary,Retailing,Specialty Retail,Apparel Retail
4068353,Fidelity Corporate Real Estate,,,,
4068226,Dell EMC,Information Technology,Technology Hardware and Equipment,"Technology Hardware, Storage and Peripherals","Technology Hardware, Storage and Peripherals"
4068099,DSW Inc.,Consumer Discretionary,Retailing,Specialty Retail,Apparel Retail
4067958,Big Heart Pet Brands,Consumer Staples,"Food, Beverage and Tobacco",Food Products,Packaged Foods and Meats
4067324,Bright Horizons Family Solutions Inc.,Consumer Discretionary,Consumer Services,Diversified Consumer Services,Education Services
4067290,Books-A-Million Inc.,Consumer Discretionary,Retailing,Specialty Retail,Specialty Stores
4067108,Bressler Amery & Ross PC,Industrials,Commercial and Professional Services,Professional Services,Research and Consulting Services
4067081,Barnes & Noble Inc.,Consumer Discretionary,Retailing,Specialty Retail,Specialty Stores
4067013,The Associated Press Inc.,Communication Services,Media and Entertainment,Media,Publishing
4066997,Aerotek Inc.,Industrials,Commercial and Professional Services,Professional Services,Human Resource and Employment Services
4066720,AC Moore Arts & Crafts Inc.,Consumer Discretionary,Retailing,Specialty Retail,Specialty Stores
4066681,Abercrombie & Fitch Co.,Consumer Discretionary,Retailing,Specialty Retail,Apparel Retail
4158830,Boston Partners Global Investors Inc.,Financials,Diversified Financials,Capital Markets,Asset Management and Custody Banks
4135463,Millennium Management LLC,Financials,Diversified Financials,Capital Markets,Asset Management and Custody Banks
4134812,Owl Creek Asset Management L.P.,Financials,Diversified Financials,Capital Markets,Asset Management and Custody Banks
4134614,Atlantic Investment Management Inc.,Financials,Diversified Financials,Capital Markets,Asset Management and Custody Banks
4118904,Clarfeld Financial Advisors LLC,Financials,Diversified Financials,Capital Markets,Asset Management and Custody Banks
4118700,Divi-Vest Advisors,Financials,Diversified Financials,Capital Markets,Asset Management and Custody Banks
4095737,Stevens Capital Management LP,Financials,Diversified Financials,Capital Markets,Asset Management and Custody Banks
4095386,Highbridge Capital Management LLC,Financials,Diversified Financials,Capital Markets,Asset Management and Custody Banks
4055545,Milestone Partners Management Co. LP,Financials,Diversified Financials,Capital Markets,Asset Management and Custody Banks
111151,Pennsylvania Trust Co.,Financials,Diversified Financials,Capital Markets,Asset Management and Custody Banks
4010874,Penn Virginia Corp.,Energy,Energy,"Oil, Gas and Consumable Fuels",Oil and Gas Exploration and Production
4000193,International Business Machines Corp.,Information Technology,Software and Services,IT Services,IT Consulting and Other Services
4001597,Sunoco Inc.,Energy,Energy,"Oil, Gas and Consumable Fuels",Oil and Gas Refining and Marketing
4002416,Drinker Biddle & Reath LLP,Consumer Discretionary,Consumer Services,Diversified Consumer Services,Specialized Consumer Services
4064672,Sony Corp.,Consumer Discretionary,Consumer Durables and Apparel,Household Durables,Consumer Electronics
4071073,Staples Inc.,Consumer Discretionary,Retailing,Specialty Retail,Specialty Stores
4047857,Cisco Systems Inc.,Information Technology,Technology Hardware and Equipment,Communications Equipment,Communications Equipment
4070227,Pier 1 Imports Inc.,Consumer Discretionary,Retailing,Specialty Retail,Homefurnishing Retail
4069860,State of New Jersey,Industrials,Commercial and Professional Services,Commercial Services and Supplies,Diversified Support Services
4069761,The Mount Sinai Hospital,Health Care,Health Care Equipment and Services,Health Care Providers and Services,Health Care Facilities
4069593,Montefiore Health System Inc.,Health Care,Health Care Equipment and Services,Health Care Providers and Services,Health Care Facilities
4069377,La Petite Academy Inc.,Consumer Discretionary,Consumer Services,Diversified Consumer Services,Specialized Consumer Services
4069240,Fitness International LLC,Consumer Discretionary,Consumer Services,"Hotels, Restaurants and Leisure",Leisure Facilities
4068705,The Gymboree Corp.,Consumer Discretionary,Retailing,Specialty Retail,Apparel Retail
4068641,Genuardi Markets,,,,
4068454,Fox Rothschild LLP,Industrials,Commercial and Professional Services,Professional Services,Research and Consulting Services
4068355,U.S. Food and Drug Administration,,,,
4068204,Eckerd Corp.,Consumer Staples,Food and Staples Retailing,Food and Staples Retailing,Drug Retail
4068090,DSC Logistics Inc.,Industrials,Transportation,Air Freight and Logistics,Air Freight and Logistics
4067988,Dunham's Athleisure Corp.,Consumer Discretionary,Retailing,Specialty Retail,Specialty Stores
4119414,WBI Investments Inc.,Financials,Diversified Financials,Capital Markets,Asset Management and Custody Banks
4118675,Aberdeen Asset Management Inc,Financials,Diversified Financials,Capital Markets,Asset Management and Custody Banks
11957,MAPFRE Insurance Co.,Financials,Insurance,Insurance,Property and Casualty Insurance
1010126,TD Bank NA,Financials,Banks,Banks,Diversified Banks
4001588,J. C. Penney Co. Inc.,Consumer Discretionary,Retailing,Multiline Retail,Department Stores
4077764,FUJIFILM Holdings Corp.,Information Technology,Technology Hardware and Equipment,"Technology Hardware, Storage and Peripherals","Technology Hardware, Storage and Peripherals"
4026241,University of Pennsylvania,Consumer Discretionary,Consumer Services,Diversified Consumer Services,Education Services
4095864,Best Buy Co. Inc.,Consumer Discretionary,Retailing,Specialty Retail,Computer and Electronics Retail
4158984,"Datapipe, Inc.",Information Technology,Software and Services,IT Services,Internet Services and Infrastructure
4139701,Axon Investments L.P.,Financials,Diversified Financials,Capital Markets,Asset Management and Custody Banks
4071364,Tractor Supply Co.,Consumer Discretionary,Retailing,Specialty Retail,Specialty Stores
4219577,Shiseido Co. Ltd.,Consumer Staples,Household and Personal Products,Personal Products,Personal Products
4239298,"Japan Radio Co., Ltd.",Information Technology,Technology Hardware and Equipment,Communications Equipment,Communications Equipment
4091160,Genworth Financial Inc.,Financials,Insurance,Insurance,Life and Health Insurance
4066972,Arby's LLC,Consumer Discretionary,Consumer Services,"Hotels, Restaurants and Leisure",Restaurants
4140590,Pershing Square Capital Management LP,Financials,Diversified Financials,Capital Markets,Asset Management and Custody Banks
4119550,Millburn Ridgefield Corp.,Financials,Diversified Financials,Capital Markets,Asset Management and Custody Banks
4030472,Edelman Financial Services LLC,Financials,Diversified Financials,Capital Markets,Asset Management and Custody Banks
4027098,Ayco Co. L.P.,Financials,Diversified Financials,Capital Markets,Asset Management and Custody Banks
4005113,BAMCO Inc.,Financials,Diversified Financials,Capital Markets,Asset Management and Custody Banks
3006816,Merrill Lynch Pierce Fenner & Smith Inc.,Financials,Diversified Financials,Capital Markets,Investment Banking and Brokerage
111332,Cadence Capital Management LLC,Financials,Diversified Financials,Capital Markets,Asset Management and Custody Banks
4007310,Hallmark Cards Inc.,Communication Services,Media and Entertainment,Media,Publishing
4069789,National Amusements Inc.,Communication Services,Media and Entertainment,Entertainment,Movies and Entertainment
4099510,Princeton University,Consumer Discretionary,Consumer Services,Diversified Consumer Services,Education Services
4111287,U.S. Dept. of the Treasury,Financials,Diversified Financials,Diversified Financial Services,Specialized Finance
4139604,Ziff Brothers Investments LLC,Financials,Diversified Financials,Capital Markets,Asset Management and Custody Banks
4161823,Fast Retailing Co. Ltd.,Consumer Discretionary,Retailing,Specialty Retail,Apparel Retail
4157135,Ralph Lauren Corp.,Consumer Discretionary,Consumer Durables and Apparel,"Textiles, Apparel and Luxury Goods","Apparel, Accessories and Luxury Goods"
4155122,Telx,Information Technology,Software and Services,IT Services,Internet Services and Infrastructure
4147300,Ferguson Enterprises Inc.,Industrials,Capital Goods,Trading Companies and Distributors,Trading Companies and Distributors
4144219,"Potbelly Sandwich Works, LLC",Consumer Discretionary,Consumer Services,"Hotels, Restaurants and Leisure",Restaurants
4143215,Kings Food Markets Inc.,Consumer Staples,Food and Staples Retailing,Food and Staples Retailing,Food Retail
4142486,Cardiology PC,,,,
4142379,National Hockey League L.P.,Communication Services,Media and Entertainment,Entertainment,Movies and Entertainment
4135579,Planet Hollywood International Inc.,Consumer Discretionary,Consumer Services,"Hotels, Restaurants and Leisure","Hotels, Resorts and Cruise Lines"
4133314,Mount Sinai Beth Israel,Health Care,Health Care Equipment and Services,Health Care Providers and Services,Health Care Facilities
4121346,Honeywell International Inc.,Industrials,Capital Goods,Industrial Conglomerates,Industrial Conglomerates
4114939,Buffalo Wild Wings Inc.,Consumer Discretionary,Consumer Services,"Hotels, Restaurants and Leisure",Restaurants
4111513,Guggenheim Partners LLC,Financials,Diversified Financials,Capital Markets,Asset Management and Custody Banks
4633320,WME IMG Holdings LLC,Communication Services,Media and Entertainment,Entertainment,Movies and Entertainment
4585104,SP Plus Corp.,Industrials,Commercial and Professional Services,Commercial Services and Supplies,Environmental and Facilities Services
4107935,Ulta Beauty Inc.,Consumer Discretionary,Retailing,Specialty Retail,Specialty Stores
4099645,The Bon-Ton Stores Inc.,Consumer Discretionary,Retailing,Multiline Retail,Department Stores
4097823,Cadbury Holdings Ltd.,Consumer Staples,"Food, Beverage and Tobacco",Food Products,Packaged Foods and Meats
4095769,Comverse Technology Inc.,Information Technology,Software and Services,Software,Application Software
4096037,RS Legacy Corp.,Consumer Discretionary,Retailing,Specialty Retail,Computer and Electronics Retail
4095101,"Dermik Laboratories, Inc.",Health Care,"Pharmaceuticals, Biotechnology and Life Sciences",Pharmaceuticals,Pharmaceuticals
4094942,The Columbia House Co.,Consumer Discretionary,Retailing,Internet and Direct Marketing Retail,Internet and Direct Marketing Retail
4678888,Tourism Authority of Thailand,Consumer Discretionary,Consumer Services,"Hotels, Restaurants and Leisure","Hotels, Resorts and Cruise Lines"
4671097,Lands' End Inc.,Consumer Discretionary,Retailing,Internet and Direct Marketing Retail,Internet and Direct Marketing Retail
4596310,"Primary Health Network, Inc.",Health Care,Health Care Equipment and Services,Health Care Providers and Services,Managed Health Care
4584276,"Sheraton Hotels & Resorts Worldwide, Inc.",Consumer Discretionary,Consumer Services,"Hotels, Restaurants and Leisure","Hotels, Resorts and Cruise Lines"
4094690,Genesco Inc.,Consumer Discretionary,Retailing,Specialty Retail,Apparel Retail
4094538,Rovi Guides Inc.,Communication Services,Media and Entertainment,Media,Advertising
4094581,Taco Bell Corp.,Consumer Discretionary,Consumer Services,"Hotels, Restaurants and Leisure",Restaurants
4093772,Sheppard Mullin Richter & Hampton,Consumer Discretionary,Consumer Services,Diversified Consumer Services,Specialized Consumer Services
4090403,Life Time Fitness Inc.,Consumer Discretionary,Consumer Services,"Hotels, Restaurants and Leisure",Leisure Facilities
4090212,National Archives and Records,,,,
4088099,Forever 21 Inc.,Consumer Discretionary,Retailing,Specialty Retail,Apparel Retail
4074459,Alterra Healthcare Corp.,Health Care,Health Care Equipment and Services,Health Care Providers and Services,Health Care Facilities
4073466,Citi Trends Inc.,Consumer Discretionary,Retailing,Specialty Retail,Apparel Retail
4073448,Builders FirstSource Inc.,Industrials,Capital Goods,Building Products,Building Products
4072964,"The Container Store, Inc.",Consumer Discretionary,Retailing,Specialty Retail,Specialty Stores
4071896,"ARBROS Communications, Inc.",Communication Services,Telecommunication Services,Diversified Telecommunication Services,Integrated Telecommunication Services
4071667,"Wegmans Food Markets, Inc.",Consumer Staples,Food and Staples Retailing,Food and Staples Retailing,Food Retail
4067552,CHF Industries,Consumer Discretionary,Consumer Durables and Apparel,Household Durables,Home Furnishings
4067403,"Buy Buy Baby, Inc.",Consumer Discretionary,Retailing,Specialty Retail,Specialty Stores
4067304,BEHR Process Corp.,Materials,Materials,Chemicals,Specialty Chemicals
4067237,Balanced Care Corp.,Health Care,Health Care Equipment and Services,Health Care Providers and Services,Health Care Facilities
4067051,AutoNation Inc.,Consumer Discretionary,Retailing,Specialty Retail,Automotive Retail
4065931,AIG Aerospace Insurance Services Inc.,,,,
4063975,Westinghouse Electric Co. LLC,Industrials,Capital Goods,Construction and Engineering,Construction and Engineering
4058144,Weis Markets Inc.,Consumer Staples,Food and Staples Retailing,Food and Staples Retailing,Food Retail
4058077,Shop 'n Save Warehouse Foods Inc.,Consumer Staples,Food and Staples Retailing,Food and Staples Retailing,Food Retail
4058027,"Price Chopper Operating Co., Inc.",Consumer Staples,Food and Staples Retailing,Food and Staples Retailing,Food Retail
4057659,AboveNet Inc.,Communication Services,Telecommunication Services,Diversified Telecommunication Services,Alternative Carriers
4054152,Bed Bath & Beyond Inc.,Consumer Discretionary,Retailing,Specialty Retail,Homefurnishing Retail
4054084,Kate Spade & Co.,Consumer Discretionary,Consumer Durables and Apparel,"Textiles, Apparel and Luxury Goods","Apparel, Accessories and Luxury Goods"
4054015,The Gap Inc.,Consumer Discretionary,Retailing,Specialty Retail,Apparel Retail
4053867,WithumSmith+Brown PC,Industrials,Commercial and Professional Services,Professional Services,Research and Consulting Services
4049386,Ricoh USA Inc.,Information Technology,Technology Hardware and Equipment,"Electronic Equipment, Instruments and Components",Technology Distributors
4048386,McKinsey & Co. Inc.,Industrials,Commercial and Professional Services,Professional Services,Research and Consulting Services
4046747,CliftonLarsonAllen LLP,Industrials,Commercial and Professional Services,Professional Services,Research and Consulting Services
4046547,BDO USA LLP,Industrials,Commercial and Professional Services,Professional Services,Research and Consulting Services
4404124,Sanofi,Health Care,"Pharmaceuticals, Biotechnology and Life Sciences",Pharmaceuticals,Pharmaceuticals
4071244,TGI Friday's Inc.,Consumer Discretionary,Consumer Services,"Hotels, Restaurants and Leisure",Restaurants
4070608,Ross Stores Inc.,Consumer Discretionary,Retailing,Specialty Retail,Apparel Retail
4070492,Regus Business Centre,Real Estate,Real Estate,Real Estate Management and Development,Real Estate Operating Companies
4070417,Quest Diagnostics Inc.,Health Care,Health Care Equipment and Services,Health Care Providers and Services,Health Care Services
4070422,"Quintiles, Inc.",Health Care,"Pharmaceuticals, Biotechnology and Life Sciences",Life Sciences Tools and Services,Life Sciences Tools and Services
4070074,Panera Bread,Consumer Discretionary,Consumer Services,"Hotels, Restaurants and Leisure",Restaurants
4070006,Old Navy Inc.,Consumer Discretionary,Retailing,Specialty Retail,Apparel Retail
4069981,Office Depot Inc.,Consumer Discretionary,Retailing,Specialty Retail,Specialty Stores
4069940,NSC Wholesale Holdings LLC,Consumer Discretionary,Retailing,Multiline Retail,General Merchandise Stores
4068968,"Information Builders, Inc.",Information Technology,Software and Services,Software,Application Software
4068813,"Homegoods, Inc.",Consumer Discretionary,Retailing,Specialty Retail,Homefurnishing Retail
4068611,Giorgio Armani Corp.,Consumer Discretionary,Consumer Durables and Apparel,"Textiles, Apparel and Luxury Goods","Apparel, Accessories and Luxury Goods"
4068602,GNC Corp.,Consumer Discretionary,Retailing,Specialty Retail,Specialty Stores
4068395,Forest Laboratories LLC,Health Care,"Pharmaceuticals, Biotechnology and Life Sciences",Pharmaceuticals,Pharmaceuticals
4068334,Family Dollar Stores Inc.,Consumer Discretionary,Retailing,Multiline Retail,General Merchandise Stores
4067875,City of New York,Industrials,Commercial and Professional Services,Commercial Services and Supplies,Diversified Support Services
4067766,Coty Inc.,Consumer Staples,Household and Personal Products,Personal Products,Personal Products
4067573,"Champps Entertainment, Inc.",Consumer Discretionary,Consumer Services,"Hotels, Restaurants and Leisure",Restaurants
4067489,"Childtime Childcare, Inc.",Consumer Discretionary,Consumer Services,Diversified Consumer Services,Education Services
4067105,"Banana Republic, LLC",Consumer Discretionary,Retailing,Specialty Retail,Apparel Retail
4066896,Ameriquest Mortgage Co.,Financials,Banks,Thrifts and Mortgage Finance,Thrifts and Mortgage Finance
4066805,Airborne Express Corp.,,,,
4066128,Five Star Senior Living Inc.,Health Care,Health Care Equipment and Services,Health Care Providers and Services,Health Care Facilities
4065928,GE Healthcare Inc.,Health Care,"Pharmaceuticals, Biotechnology and Life Sciences",Biotechnology,Biotechnology
4064685,Sanofi-Aventis U.S. LLC,Health Care,"Pharmaceuticals, Biotechnology and Life Sciences",Pharmaceuticals,Pharmaceuticals
4064656,Kirkland & Ellis,Industrials,Commercial and Professional Services,Professional Services,Research and Consulting Services
4064192,HNTB Corp.,Industrials,Capital Goods,Construction and Engineering,Construction and Engineering
4602797,Hot Topic Inc.,Consumer Discretionary,Retailing,Specialty Retail,Apparel Retail
4059821,Eli Lilly and Co.,Health Care,"Pharmaceuticals, Biotechnology and Life Sciences",Pharmaceuticals,Pharmaceuticals
4058801,OfficeMax Inc.,Consumer Discretionary,Retailing,Specialty Retail,Specialty Stores
4058206,"The Food Emporium, Inc.",Consumer Staples,Food and Staples Retailing,Food and Staples Retailing,Food Retail
4057806,BJ's Wholesale Club Inc.,Consumer Staples,Food and Staples Retailing,Food and Staples Retailing,Hypermarkets and Super Centers
4057779,Acme Markets Inc.,Consumer Staples,Food and Staples Retailing,Food and Staples Retailing,Food Retail
4225580,Rockwood Holdings Inc.,Materials,Materials,Chemicals,Specialty Chemicals
4114941,DoubleClick Inc.,Information Technology,Software and Services,Software,Application Software
4340996,Cache Inc.,Consumer Discretionary,Retailing,Specialty Retail,Apparel Retail
4535543,Clinigen Group PLC,Health Care,"Pharmaceuticals, Biotechnology and Life Sciences",Life Sciences Tools and Services,Life Sciences Tools and Services
4324550,Teva Pharmaceutical Industries Ltd.,Health Care,"Pharmaceuticals, Biotechnology and Life Sciences",Pharmaceuticals,Pharmaceuticals
4194544,Novo Nordisk A/S,Health Care,"Pharmaceuticals, Biotechnology and Life Sciences",Pharmaceuticals,Pharmaceuticals
4671248,Fresh Market Inc.,Consumer Staples,Food and Staples Retailing,Food and Staples Retailing,Food Retail
4657496,Chico's FAS Inc.,Consumer Discretionary,Retailing,Specialty Retail,Apparel Retail
4054203,"The Dressbarn, Inc.",Consumer Discretionary,Retailing,Specialty Retail,Apparel Retail
4134593,KS Management Corp.,Financials,Diversified Financials,Capital Markets,Asset Management and Custody Banks
106219,Stradley Ronon Stevens & Young LLP,Industrials,Commercial and Professional Services,Professional Services,Research and Consulting Services
100133,Republic Bank,Financials,Banks,Banks,Regional Banks
